Haas, Richard;2001;NULL;Non-Res.,Theatrical;
Habirshaw, John, Dr.;1897;NULL;NULL;
Habirshaw, William M.;1893;NULL;Non-Theatrical;
Haby, Mrs. F. Lya;NULL;NULL;Non-Theat.;
Hackett, James K.;1897;1926;Theatrical;Producer/Actor
Hackett, Norman;1921;1959;Theatrical;Actor
Hackney, Earl N.;1936;NULL;Army/Navy;Major
Hadfield, Harry S.;1918;NULL;Non-Res.;
Hadley, Alvan C., Jr.;1950;NULL;Army/Navy;Captain
Hadley, Arthur;1955;NULL;Theatrical;Producer
Hadley, Hap;1945;NULL;Theatrical;Actor
Hadley, Henry K.;1897;1937;Theatrical;Composer/Conductor
Hadley, Robert;1948;NULL;Theatrical;Director/Producer.
Hadlock, Channing M.;1964;NULL;Theatrical;
Haefner, Douglas, Rev.;1996;NULL;Clergy;
Hagadorn, Charles B.;1903;NULL;Army/Navy;Captain, U.S.A.
Hagan, Ray;1964;NULL;Theatrical,Life;Director/Pres. Ad Agency
Hagan, Thomas G.;1967;NULL;Theatrical;
Haggerty, George F.;1946;1956;Theatrical;
Haggerty, Joseph J.;1940;NULL;Non-Theatrical;
Hague, Albert M.;1950or51;NULL;Theatrical;Composer: Plain and Fancy/Actor: Fame
Hague, Cuthbert;1928;1966;Life;
Hague, Robert L.;1919;1939;Non-Theatrical;Headed marine dept., Standard Oil Co. of NJ
Haines, Robert T.;1903;1943;Theatrical;
Hale, Alan;1919;NULL;Theatrical;Actor: The Fighting 69th
Hale, Alan;1949;NULL;Theatrical;Actor: TV's Gilligan's Island/Son of Alan Hale
Hale, Carole Z.;NULL;NULL;NULL;
Hale, Creighton;1916;NULL;Theatrical;Actor/Star of Silents & Talkies
Hale, Frank J.;1934;NULL;Theatrical;
Hale, John L.;1913;NULL;Non-Res.;
Hale, Walter S.;1896;1917;Theatrical;
Hales, Ethelbert D.;1917;NULL;Theatrical;
Halford, Frank;1911;NULL;Army/Navy;Colonel, U.S.M.C.
Hall, Alexander M.;1911;1939;Army/Navy;Lt. Colonel
Hall, Cliff;1953;NULL;Theatrical;Comedian/Actor
Hall, Edmund;1952;NULL;Theatrical;
Hall, Frank C.;1943;1950;Non-Res.;
Hall, George;1951;NULL;Theatrical;Actor
Hall, Glenn P.;1913;NULL;Non-Res.;
Hall, Harry Alvan;1894;NULL;Non-Res.;Pittsburgh
Hall, John C., Jr.;1999;NULL;Theatrical;AFTRA official/Actors' Fund Trustee
Hall, Radcliffe W.;1942;NULL;Theatrical;
Hall, Reta Browne;1987;NULL;Theatrical;Singer/Actress
Hall, Shirley M.;1929;NULL;Non-Res.;
Hall, T.C.;1877;NULL;NULL;
Hall, Thomas M.;NULL;1909;NULL;
Hall, Thurston;1908;NULL;Theatrical;Actor, movies & stage
Hall, William C.;1893;NULL;Non-Theatrical;Actor
Halle, Walter M.;1957;NULL;Non-Res.;
Halliday, Robert;1927;NULL;Theatrical;
Halligan, Bill;1939;NULL;Theatrical;Actor
Halpert, Joseph;1943;NULL;Non-Theatrical;
Halstead, Jacob;1906;1915;Non-Theatrical;
Halton, Charles;1917;1959;Theatrical;Actor: Dr. Cyclops
Halton, Frederick J.;1942;1943;Theatrical;
Halwey, Howard;1992;NULL;Theatrical;Pres. Hegira, Int'l.
Hamblen, Bernard;1923;NULL;Theatrical;
Hamburger, Anne;2014;NULL;Theatrical;Producer
Hamburger,  Samuel B.;1893;1926;Non-Theatrical;
