Impellitteri, Vincent R.;1949;NULL;Non-Theatrical;Mayor of New York City
Ince, Alexander;1940;NULL;Theatrical;
Ince, John E.;1919;NULL;Theatrical;
Ince, Ralph W.;1916;NULL;Theatrical;Producer
Indzonka, John J.;1960;NULL;Non-Res.;Writer/Producer
Ingalls, Philip;1950;NULL;Theatrical;
Ingersoll, Robert G.;1889;1899;NULL;Colonel/Newspaper man/Famous orator
Ingersoll, William;1893;1936;Theatrical;
Ingram, Harry;1947;NULL;Theatrical;
Inness, Charles H.;1926;1939;Non-Res.;
Ireland, Clifford;1919;NULL;Non-Res.;
Ireland, Thomas A.;1894;1902;Non-Res.;Cleveland
Irving, Harry R.;1924;1960;Theatrical;
Irving, Henry, Sir;1883;1905;Honorary;English actor-manager
Irwin, Louis;1949;NULL;Non-Theatrical;
Irwin, Robert Easton;1901;NULL;Non-Theatrical;
Irwin, Wallace;1909;NULL;Theatrical;
Irwin, Walter W.;1919;NULL;Non-Theatrical;
Isaacs, Abe;1962;NULL;Non-Theatrical;
Isaacs, J.L.;1908;1927;Non-Theatrical;
Isaacson, Jack;1952;1960;Theatrical;
Izard, Walter B.;1911;NULL;Army/Navy;Pay Inspector, U.S.N.
